solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M106,F236,M06 แปลงที่ 20 -42160020,14.78058264753,99.805323118006,9.31,Sweeper,2023-02-21,2023-02-21,2023-02-21,3.564,08:00,00:11,13:19,01:16,14:35,11.172,11172.0
S1,M106,F244,M06 แปลงที่ 28 -42160021,14.79051256738,99.792555100711,19.35,Sweeper,2023-02-26,2023-02-26,2023-02-26,2.778,08:00,00:08,08:00,02:27,10:27,23.22,23220.0
S1,M106,F245,M06 แปลงที่ 29 -4216081,14.790088437158,99.790060860446,19.3,Sweeper,2023-02-28,2023-02-28,2023-02-28,0.844,08:00,00:03,08:00,02:26,10:26,23.16,23160.0
S1,M106,F239,M06 แปลงที่ 23 -42160089,14.782702550417,99.791775625783,7.53,Sweeper,2023-02-23,2023-02-28,2023-02-28,1.055,08:00,00:03,10:29,01:03,11:33,9.036,9036.0
S1,M106,F237,M06 แปลงที่ 21 -42160090,14.782704448621,99.791350557022,2.93,Sweeper,2023-02-22,2023-02-28,2023-02-28,0.033,08:00,00:00,11:33,00:31,13:03,3.516,3516.0
S1,M106,F241,M06 แปลงที่ 25 -4216337,14.782532071176,99.792284259348,3.95,Sweeper,2023-02-24,2023-02-28,2023-02-28,0.427,08:00,00:01,13:05,00:38,13:42,4.74,4740.0
S1,M106,F240,M06 แปลงที่ 24 -42160085,14.781529014015,99.791991874587,4.04,Sweeper,2023-02-23,2023-02-28,2023-02-28,0.278,08:00,00:01,13:43,00:39,14:22,4.848,4848.0
S1,M106,F238,M06 แปลงที่ 22 -42160083,14.781547888688,99.791334783658,1.74,Sweeper,2023-02-22,2023-02-28,2023-02-28,0.07,08:00,00:00,14:22,00:22,14:44,2.088,2088.0
S1,M106,F246,M06 แปลงที่ 30 -42160012,14.780648127574,99.791307693903,9.21,Sweeper,2023-03-01,2023-03-01,2023-03-01,0.009,08:00,00:00,08:00,01:15,09:15,11.052,11052.0
S1,M106,F243,M06 แปลงที่ 27 -42160147,14.779220749486,99.789073323403,13.74,Sweeper,2023-02-25,2023-03-01,2023-03-01,0.313,08:00,00:01,09:16,01:47,11:03,16.488,16488.0
S1,M106,F242,M06 แปลงที่ 26 -42160122,14.781414046216,99.789788619489,7.55,Sweeper,2023-02-24,2023-03-01,2023-03-01,0.484,08:00,00:01,11:04,01:03,13:08,9.06,9060.0
S1,M106,F256,M06 แปลงที่ 40 -4216336,14.778640153398,99.787776919425,10.33,Sweeper,2023-03-08,2023-03-08,2023-03-08,0.771,08:00,00:02,08:00,01:23,09:23,12.396,12396.0
S1,M106,F250,M06 แปลงที่ 34 -42160035,14.779376750379,99.791184662514,10.48,Sweeper,2023-03-03,2023-03-08,2023-03-08,1.099,08:00,00:03,09:26,01:24,10:50,12.576,12576.0
