solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M124,F262,M33 แปลงที่ 6 -40050004,14.827717097623,99.879484680719,13.35,Picker,2023-01-13,2023-01-13,2023-01-13,5.245,08:00,00:16,17:26,01:30,18:56,16.02,16020.0
S1,M124,F263,M33 แปลงที่ 7 -40050051,14.827148203454,99.877875167856,11.31,Picker,2023-01-20,2023-01-20,2023-01-20,0.195,09:41,00:01,09:42,01:18,10:60,13.572,13572.0
S1,M124,F264,M33 แปลงที่ 8 -40050050,14.82646983799,99.878339093247,15.78,Picker,2023-01-21,2023-01-21,2023-01-21,0.046,09:01,00:00,09:01,01:45,10:46,18.936,18936.0
S1,M124,F265,M33 แปลงที่ 9 -40050008,14.825933478485,99.878563901562,9.56,Picker,2023-01-19,2023-01-21,2023-01-21,0.021,15:33,00:00,10:46,01:07,11:54,11.472,11472.0
S1,M124,F267,M33 แปลงที่ 11 -40050056,14.840939451215,99.848550562307,4.46,Picker,2023-01-19,2023-01-21,2023-01-21,5.657,13:25,00:17,13:11,00:37,13:47,5.352,5352.0
S1,M124,F268,M33 แปลงที่ 12 -40050013,14.836874109935,99.922862098337,7.62,Picker,2023-01-20,2023-01-21,2023-01-21,9.766,13:29,00:29,14:17,00:56,15:12,9.144,9144.0
S1,M124,F269,M33 แปลงที่ 13 -40050007,14.84633845203,99.917227277384,6.14,Picker,2023-01-25,2023-01-25,2023-01-25,3.009,12:27,00:09,13:27,00:47,14:14,7.368,7368.0
S1,M124,F270,M33 แปลงที่ 14 -40050041,14.846734121065,99.91543578105,9.75,Picker,2023-01-24,2023-01-25,2023-01-25,0.008,14:52,00:00,14:14,01:08,15:23,11.7,11700.0
S1,M124,F279,M33 แปลงที่ 23 -46110041,14.846754872957,99.897284548542,8.51,Picker,2023-02-03,2023-02-03,2023-02-03,2.552,15:17,00:08,16:18,01:01,17:19,10.212,10212.0
S1,M124,F281,M33 แปลงที่ 25 -46110040,14.846003544393,99.896376599265,3.53,Picker,2023-02-01,2023-02-03,2023-02-03,0.261,10:46,00:01,17:19,00:31,17:51,4.236,4236.0
S1,M124,F284,M33 แปลงที่ 28 -46110025,14.842234488331,99.891592243939,13.2,Picker,2023-02-05,2023-02-05,2023-02-05,0.778,09:13,00:02,09:13,01:29,10:42,15.84,15840.0
S1,M124,F276,M33 แปลงที่ 20 -40130035,14.849613062788,99.892482695199,23.48,Picker,2023-02-28,2023-02-28,2023-02-28,1.554,14:30,00:05,15:30,02:31,18:01,28.176,28176.0
S1,M124,F275,M33 แปลงที่ 19 -46110078,14.848198780852,99.885144656827,13.64,Picker,2023-02-27,2023-02-28,2023-02-28,1.287,10:31,00:04,18:05,01:32,19:37,16.368,16367.999999999998
